@relation ForestFireNormalizado

@attribute BMean numeric
@attribute GMean numeric
@attribute RMean numeric
@attribute BDesEst numeric
@attribute GDesEst numeric
@attribute RDesEst numeric
@attribute Brillo numeric
@attribute Saturacion numeric
@attribute IsFire {H,N,I}

@data
0.473153977,0.489834542,0.472650647,0.513871231,0.109056621,0.029999509,0.100891267,0.519011118,H
0.471746561,0.502214658,0.471241886,0.544406312,0.049213937,0.051754105,0.134628925,0.544455269,H
0.439642593,0.504353178,0.439107247,0.584263968,0.056937785,0.130459978,0.243700361,0.584263968,H
0.537142863,0.627524821,0.536700666,0.675630756,0.124066961,0.101122667,0.202480957,0.675723548,H
0.600579901,0.674766005,0.600198309,0.696251934,0.03352285,0.080105984,0.13677902,0.696493312,H
0.61257884,0.552746605,0.612208711,0.492762502,0.280078302,0.318067442,0.207805255,0.612043874,H
0.604227601,0.568703455,0.603849494,0.524401949,0.295023095,0.238782141,0.135728125,0.605788105,H
0.566020331,0.530551812,0.565605722,0.520833869,0.153389384,0.057563834,0.089985012,0.567898677,H
0.508903354,0.501763344,0.508434177,0.536094376,0.113432239,0.07192928,0.08538331,0.54119533,H
0.519372628,0.547840905,0.518913454,0.612533393,0.059402816,0.056555396,0.152864494,0.612533393,H
0.479301984,0.604224307,0.478804528,0.693265565,0.087248696,0.094347898,0.308611549,0.693265565,H
0.555616997,0.726716556,0.555192449,0.773026975,0.122165351,0.072661567,0.282615278,0.773026975,H
0.566250979,0.716902012,0.565836591,0.757645219,0.062952268,0.042468224,0.252963965,0.757645219,H
0.228780922,0.233897667,0.228044127,0.176956254,0.161942423,0.192234288,0.303215008,0.246492523,N
0.279009305,0.305623392,0.278320496,0.243187965,0.165091485,0.216096164,0.239668804,0.31089546,N
0.293743583,0.322438657,0.29306885,0.265851654,0.185810686,0.261365035,0.245853875,0.333032637,N
0.338032763,0.371496142,0.337400343,0.366763874,0.203756248,0.30449399,0.221411596,0.409689012,N
0.382438714,0.481405437,0.381848718,0.64352177,0.255137666,0.458915192,0.377951192,0.651970671,I
0.407131657,0.49033871,0.406565251,0.637439194,0.202160465,0.162178885,0.358807071,0.637439194,H
0.546255814,0.667523099,0.545822323,0.700860746,0.255213563,0.272849119,0.225529039,0.702300372,H
0.598331447,0.754779338,0.597947707,0.781363942,0.064996805,0.111808544,0.235147259,0.783336831,H
0.220760634,0.249381612,0.220016177,0.177388895,0.190064796,0.225418967,0.352316482,0.256988442,N
0.268641059,0.286515142,0.267942344,0.215447725,0.192663579,0.224928407,0.294963796,0.296527987,N
0.248850311,0.27246011,0.248132689,0.199531954,0.175974598,0.213532092,0.305625455,0.278522706,N
0.259458031,0.287995892,0.258750544,0.219170061,0.188827311,0.23101447,0.275547808,0.293546083,N
0.263532907,0.314052548,0.262829313,0.243010284,0.207381606,0.27225702,0.282136216,0.320168963,N
0.24471429,0.36722122,0.243992716,0.381394417,0.1786638,0.659232559,0.390072212,0.44313947,N
0.225330828,0.316206267,0.224590736,0.369206428,0.273803846,0.664531338,0.334809463,0.392607773,I
0.483724287,0.490256383,0.483231055,0.433838546,0.701284134,0.637040036,0.158483482,0.503366961,N
0.414398582,0.418386503,0.413839119,0.320234329,0.070270276,0.103118457,0.238355694,0.420408294,H
0.390184774,0.419685181,0.389602178,0.369808176,0.108901953,0.176500307,0.152956467,0.42068227,H
0.272435335,0.295729892,0.271740245,0.298872809,0.112290512,0.362032154,0.277332682,0.334336943,H
0.203167629,0.218894497,0.202406363,0.198032896,0.098880734,0.362491881,0.416381149,0.25281272,H
0.209892122,0.207556668,0.209137281,0.124194082,0.102406032,0.158361733,0.457161067,0.216613948,H
0.173687577,0.150789813,0.172898147,0.052135176,0.11157639,0.099566773,0.717390208,0.171624067,H
0.160562513,0.129194629,0.159760544,0.039831266,0.097432311,0.094151892,0.766588886,0.158678185,H
0.164836313,0.122501989,0.164038427,0.038608912,0.121953396,0.105613164,0.785602188,0.162579506,H
0.386937069,0.430968648,0.38635137,0.491849404,0.088923549,0.315859309,0.210358522,0.500422561,H
